FECHA_HORA,PK_ESTACION,pm25_concentracion,pm25_media_movil,iboca,PK_CONTAMINACION
2021-01-01 00:00:00,5,42.0,30.4,89.29,1154
2021-01-01 00:00:00,18,23.43,19.12,60.85,5432
2021-01-01 02:00:00,13,143.0,34.0,97.0,1188
2021-01-01 02:00:00,16,14.0,27.3,82.65,29
2021-01-01 03:00:00,18,37.33,44.54,50.76,3843
2021-01-01 04:00:00,13,23.0,41.3,114.64,475
2021-01-01 05:00:00,0,49.0,45.94,103.71,4609
2021-01-01 07:00:00,15,37.0,36.1,101.6,373
2021-01-01 13:00:00,1,11.0,43.6,120.41,853
2021-01-01 13:00:00,4,9.0,26.8,81.58,1138
2021-01-01 17:00:00,18,5.07,5.0,98.73,3987
2021-01-01 20:00:00,18,10.38,12.79,104.57,3107
2021-01-01 23:00:00,3,16.0,46.7,128.18,161
2021-01-01 23:00:00,14,1.0,5.4,22.5,300
2021-01-02 00:00:00,4,6.0,8.2,34.17,830
2021-01-02 01:00:00,18,49.82,49.92,116.36,1502
2021-01-02 03:00:00,3,18.0,24.8,77.3,251
2021-01-02 04:00:00,14,12.0,8.9,37.08,26
2021-01-02 06:00:00,15,1.0,7.0,29.17,859
2021-01-02 08:00:00,18,22.16,20.94,88.77,5441
2021-01-02 09:00:00,1,8.0,8.0,33.33,1226
2021-01-02 11:00:00,3,11.0,9.5,39.58,777
2021-01-02 12:00:00,18,52.14,54.78,116.17,2685
2021-01-02 14:00:00,0,14.32,11.83,118.05,4947
2021-01-02 15:00:00,0,30.47,28.51,69.11,4342
2021-01-02 15:00:00,4,7.0,9.7,40.42,1114
2021-01-02 17:00:00,1,9.0,8.6,35.83,1216
2021-01-02 17:00:00,4,7.0,9.5,39.58,227
2021-01-02 19:00:00,17,4.0,12.2,50.31,515
2021-01-02 20:00:00,1,10.0,9.4,39.17,711
2021-01-02 21:00:00,1,7.0,9.5,39.58,739
2021-01-02 21:00:00,15,1.0,4.8,20.0,119
2021-01-03 01:00:00,3,21.0,23.7,74.94,1255
2021-01-03 03:00:00,0,19.93,19.0,69.15,1769
2021-01-03 03:00:00,3,17.0,22.9,73.23,1004
2021-01-03 05:00:00,0,39.8,40.26,103.39,4153
2021-01-03 06:00:00,13,37.0,14.4,55.03,889
2021-01-03 07:00:00,0,20.33,20.49,80.5,4257
2021-01-03 09:00:00,9,12.0,12.0,50.0,787
2021-01-03 09:00:00,16,33.0,14.0,54.17,45
2021-01-03 09:00:00,18,45.69,45.96,59.51,3597
2021-01-03 11:00:00,15,10.0,12.6,51.17,145
2021-01-03 12:00:00,0,49.82,48.72,68.23,4104
2021-01-03 16:00:00,0,53.17,54.32,90.82,1897
2021-01-03 16:00:00,18,8.02,8.91,96.91,2421
2021-01-03 17:00:00,14,11.0,17.2,61.02,1146
2021-01-03 20:00:00,0,37.63,32.67,72.74,2528
2021-01-03 21:00:00,3,23.0,24.3,76.23,857
2021-01-03 22:00:00,18,25.59,27.15,105.53,1601
2021-01-04 01:00:00,1,16.0,9.1,37.92,1173
2021-01-04 01:00:00,3,2.0,3.7,15.42,269
2021-01-04 02:00:00,17,16.45,18.1,92.56,2680
2021-01-04 03:00:00,3,6.0,3.9,16.25,800
