FECHA_HORA,anio,mes,trimestre,dia,hora,PK_TIEMPO
2021-01-01 00:00:00,2021,1,1,1,0,3695
2021-01-01 02:00:00,2021,1,1,1,2,133
2021-01-01 03:00:00,2021,1,1,1,3,2806
2021-01-01 04:00:00,2021,1,1,1,4,1821
2021-01-01 05:00:00,2021,1,1,1,5,3483
2021-01-01 07:00:00,2021,1,1,1,7,1464
2021-01-01 13:00:00,2021,1,1,1,13,2935
2021-01-01 17:00:00,2021,1,1,1,17,2938
2021-01-01 20:00:00,2021,1,1,1,20,2052
2021-01-01 23:00:00,2021,1,1,1,23,657
2021-01-02 00:00:00,2021,1,1,2,0,2867
2021-01-02 01:00:00,2021,1,1,2,1,216
2021-01-02 03:00:00,2021,1,1,2,3,987
2021-01-02 04:00:00,2021,1,1,2,4,101
2021-01-02 06:00:00,2021,1,1,2,6,2942
2021-01-02 08:00:00,2021,1,1,2,8,4143
2021-01-02 09:00:00,2021,1,1,2,9,3890
2021-01-02 11:00:00,2021,1,1,2,11,2706
2021-01-02 12:00:00,2021,1,1,2,12,1623
2021-01-02 14:00:00,2021,1,1,2,14,3770
2021-01-02 15:00:00,2021,1,1,2,15,3252
2021-01-02 17:00:00,2021,1,1,2,17,907
2021-01-02 19:00:00,2021,1,1,2,19,1973
2021-01-02 20:00:00,2021,1,1,2,20,2529
2021-01-02 21:00:00,2021,1,1,2,21,476
2021-01-03 01:00:00,2021,1,1,3,1,3958
2021-01-03 03:00:00,2021,1,1,3,3,552
2021-01-03 05:00:00,2021,1,1,3,5,3079
2021-01-03 06:00:00,2021,1,1,3,6,3059
2021-01-03 07:00:00,2021,1,1,3,7,3176
2021-01-03 09:00:00,2021,1,1,3,9,179
2021-01-03 11:00:00,2021,1,1,3,11,598
2021-01-03 12:00:00,2021,1,1,3,12,3034
2021-01-03 16:00:00,2021,1,1,3,16,701
2021-01-03 17:00:00,2021,1,1,3,17,3671
2021-01-03 20:00:00,2021,1,1,3,20,1440
2021-01-03 21:00:00,2021,1,1,3,21,2940
2021-01-03 22:00:00,2021,1,1,3,22,346
2021-01-04 01:00:00,2021,1,1,4,1,1041
2021-01-04 02:00:00,2021,1,1,4,2,1618
2021-01-04 03:00:00,2021,1,1,4,3,2783
2021-01-04 04:00:00,2021,1,1,4,4,17
2021-01-04 05:00:00,2021,1,1,4,5,1627
2021-01-04 11:00:00,2021,1,1,4,11,3485
2021-01-04 12:00:00,2021,1,1,4,12,879
2021-01-04 13:00:00,2021,1,1,4,13,2515
2021-01-04 15:00:00,2021,1,1,4,15,3707
2021-01-04 19:00:00,2021,1,1,4,19,4068
2021-01-04 21:00:00,2021,1,1,4,21,1669
2021-01-04 22:00:00,2021,1,1,4,22,1572
2021-01-04 23:00:00,2021,1,1,4,23,696
2021-01-05 00:00:00,2021,1,1,5,0,286
2021-01-05 02:00:00,2021,1,1,5,2,4057
2021-01-05 03:00:00,2021,1,1,5,3,1354
2021-01-05 04:00:00,2021,1,1,5,4,3699
2021-01-05 05:00:00,2021,1,1,5,5,1587
2021-01-05 06:00:00,2021,1,1,5,6,849
2021-01-05 07:00:00,2021,1,1,5,7,2846
2021-01-05 08:00:00,2021,1,1,5,8,1586
2021-01-05 13:00:00,2021,1,1,5,13,450
2021-01-05 14:00:00,2021,1,1,5,14,1368
2021-01-05 16:00:00,2021,1,1,5,16,1159
2021-01-05 17:00:00,2021,1,1,5,17,1951
2021-01-05 18:00:00,2021,1,1,5,18,3977
2021-01-05 21:00:00,2021,1,1,5,21,1631
2021-01-05 22:00:00,2021,1,1,5,22,788
2021-01-05 23:00:00,2021,1,1,5,23,3891
2021-01-06 00:00:00,2021,1,1,6,0,419
2021-01-06 03:00:00,2021,1,1,6,3,3959
2021-01-06 05:00:00,2021,1,1,6,5,3411
2021-01-06 08:00:00,2021,1,1,6,8,1247
2021-01-06 11:00:00,2021,1,1,6,11,3878
2021-01-06 14:00:00,2021,1,1,6,14,447
2021-01-06 16:00:00,2021,1,1,6,16,3139
2021-01-06 18:00:00,2021,1,1,6,18,2104
2021-01-06 20:00:00,2021,1,1,6,20,418
2021-01-07 01:00:00,2021,1,1,7,1,2574
2021-01-07 02:00:00,2021,1,1,7,2,1325
2021-01-07 04:00:00,2021,1,1,7,4,3494
2021-01-07 06:00:00,2021,1,1,7,6,1671
2021-01-07 07:00:00,2021,1,1,7,7,1
2021-01-07 08:00:00,2021,1,1,7,8,247
2021-01-07 10:00:00,2021,1,1,7,10,593
2021-01-07 11:00:00,2021,1,1,7,11,708
2021-01-07 12:00:00,2021,1,1,7,12,271
2021-01-07 17:00:00,2021,1,1,7,17,2983
2021-01-07 19:00:00,2021,1,1,7,19,2474
2021-01-07 20:00:00,2021,1,1,7,20,2538
2021-01-07 21:00:00,2021,1,1,7,21,2138
2021-01-08 01:00:00,2021,1,1,8,1,1389
2021-01-08 02:00:00,2021,1,1,8,2,4011
2021-01-08 03:00:00,2021,1,1,8,3,2358
2021-01-08 04:00:00,2021,1,1,8,4,2341
2021-01-08 05:00:00,2021,1,1,8,5,506
2021-01-08 06:00:00,2021,1,1,8,6,2901
2021-01-08 07:00:00,2021,1,1,8,7,674
2021-01-08 08:00:00,2021,1,1,8,8,170
2021-01-08 10:00:00,2021,1,1,8,10,2581
2021-01-08 11:00:00,2021,1,1,8,11,3711
2021-01-08 15:00:00,2021,1,1,8,15,3177
2021-01-08 17:00:00,2021,1,1,8,17,3202
2021-01-08 18:00:00,2021,1,1,8,18,379
2021-01-08 20:00:00,2021,1,1,8,20,2067
2021-01-08 21:00:00,2021,1,1,8,21,876
2021-01-08 22:00:00,2021,1,1,8,22,2360
2021-01-08 23:00:00,2021,1,1,8,23,2290
2021-01-09 00:00:00,2021,1,1,9,0,3906
2021-01-09 01:00:00,2021,1,1,9,1,485
2021-01-09 03:00:00,2021,1,1,9,3,262
2021-01-09 04:00:00,2021,1,1,9,4,3497
2021-01-09 12:00:00,2021,1,1,9,12,1628
2021-01-09 13:00:00,2021,1,1,9,13,719
2021-01-09 14:00:00,2021,1,1,9,14,1895
2021-01-09 18:00:00,2021,1,1,9,18,2218
2021-01-09 19:00:00,2021,1,1,9,19,2860
2021-01-09 20:00:00,2021,1,1,9,20,135
2021-01-09 22:00:00,2021,1,1,9,22,3505
2021-01-09 23:00:00,2021,1,1,9,23,3030
2021-01-10 01:00:00,2021,1,1,10,1,2197
2021-01-10 03:00:00,2021,1,1,10,3,780
2021-01-10 06:00:00,2021,1,1,10,6,3821
2021-01-10 10:00:00,2021,1,1,10,10,531
2021-01-10 15:00:00,2021,1,1,10,15,3727
2021-01-10 16:00:00,2021,1,1,10,16,1817
2021-01-10 17:00:00,2021,1,1,10,17,1905
2021-01-10 21:00:00,2021,1,1,10,21,1599
2021-01-10 23:00:00,2021,1,1,10,23,4038
2021-01-11 00:00:00,2021,1,1,11,0,1616
2021-01-11 01:00:00,2021,1,1,11,1,3976
2021-01-11 02:00:00,2021,1,1,11,2,3642
2021-01-11 03:00:00,2021,1,1,11,3,2943
2021-01-11 05:00:00,2021,1,1,11,5,2555
2021-01-11 07:00:00,2021,1,1,11,7,3361
2021-01-11 08:00:00,2021,1,1,11,8,2033
2021-01-11 12:00:00,2021,1,1,11,12,2904
2021-01-11 13:00:00,2021,1,1,11,13,4005
2021-01-11 14:00:00,2021,1,1,11,14,3558
2021-01-11 16:00:00,2021,1,1,11,16,3019
2021-01-11 17:00:00,2021,1,1,11,17,1894
2021-01-11 21:00:00,2021,1,1,11,21,3907
2021-01-12 00:00:00,2021,1,1,12,0,3121
2021-01-12 04:00:00,2021,1,1,12,4,2084
2021-01-12 05:00:00,2021,1,1,12,5,3178
2021-01-12 06:00:00,2021,1,1,12,6,3272
2021-01-12 08:00:00,2021,1,1,12,8,2886
2021-01-12 13:00:00,2021,1,1,12,13,2622
2021-01-12 15:00:00,2021,1,1,12,15,3462
2021-01-12 16:00:00,2021,1,1,12,16,2711
