fecha_hora,estacion,pm25_concentracion,pm25_media_movil,iboca
2021-01-01 00:00:00,Bolivia,32.0,31.0,90.58
2021-01-01 00:00:00,CDAR,20.0,22.1,71.52
2021-01-01 00:00:00,Carvajal - Sevillana,52.0,45.7,125.68
2021-01-01 00:00:00,Ciudad Bolívar,34.0,18.6,64.02
2021-01-01 00:00:00,Fontibon,42.0,30.4,89.29
2021-01-01 00:00:00,Guaymaral,17.0,19.2,65.31
2021-01-01 00:00:00,Kennedy,64.0,40.1,111.63
2021-01-01 00:00:00,Las Ferias,28.0,24.2,76.01
2021-01-01 00:00:00,MinAmbiente,6.0,24.7,77.08
2021-01-01 00:00:00,Móvil 7ma,35.0,34.8,98.72
2021-01-01 00:00:00,Puente Aranda,23.0,31.0,90.58
2021-01-01 00:00:00,Suba,29.0,24.1,75.8
2021-01-01 00:00:00,Tunal,37.0,23.7,74.94
2021-01-01 00:00:00,Usaquen,9.0,18.4,63.59
2021-01-01 00:00:00,Usme,27.0,28.3,84.79
2021-01-01 01:00:00,Bolivia,37.0,31.4,91.43
2021-01-01 01:00:00,CDAR,21.0,22.3,71.94
2021-01-01 01:00:00,Carvajal - Sevillana,109.0,48.9,133.7
2021-01-01 01:00:00,Ciudad Bolívar,32.0,19.2,65.31
2021-01-01 01:00:00,Fontibon,36.0,30.9,90.36
2021-01-01 01:00:00,Guaymaral,20.0,19.4,65.73
2021-01-01 01:00:00,Kennedy,88.0,41.9,116.15
2021-01-01 01:00:00,Las Ferias,26.0,24.2,76.01
2021-01-01 01:00:00,MinAmbiente,6.0,23.9,75.37
2021-01-01 01:00:00,Móvil 7ma,37.0,35.0,99.14
2021-01-01 01:00:00,Puente Aranda,23.0,30.8,90.15
2021-01-01 01:00:00,Suba,35.0,24.5,76.66
2021-01-01 01:00:00,Tunal,140.0,28.9,86.08
2021-01-01 01:00:00,Usaquen,13.0,17.7,62.09
2021-01-01 01:00:00,Usme,34.0,28.7,85.65
2021-01-01 02:00:00,Bolivia,62.0,33.1,95.07
